lang,src_url,tgt_url,shopify_url,match_pass,src_handle_similarity,note
nl,/nl/3/lichaamsverzorging/skins-restaurant.aspx,/nl/3/lichaamsverzorging.aspx,/collections/lichaamsverzorging,exact,0.18,src slug and chosen handle are dissimilar
de,/de/3/krperpflege/skins-restaurant.aspx,/de/3/krperpflege/krperpflege.aspx,/collections/korperpflege,fuzzy,0.29,src slug and chosen handle are dissimilar
en,/en/3/body-care/skins-restaurant.aspx,/en/3/body-care.aspx,/collections/body-care,exact,0.24,src slug and chosen handle are dissimilar
es,/es/3/cuidado-del-cuerpo/skins-restaurant.aspx,/es/3/cuidado-del-cuerpo.aspx,/collections/cuidado-del-cuerpo,exact,0.18,src slug and chosen handle are dissimilar
fr,/fr/3/soin-du-corps/skins-restaurant.aspx,/fr/3/soin-du-corps.aspx,/collections/soin-du-corps,exact,0.28,src slug and chosen handle are dissimilar
it,/it/3/cura-del-corpo/skins-restaurant.aspx,/it/3/cura-del-corpo.aspx,/collections/cura-del-corpo,exact,0.20,src slug and chosen handle are dissimilar
it,/it/3/cura-del-corpo/dentifricio-e-cura-dei-denti.aspx,/it/3/cura-del-corpo/igiene-orale-e-del-naso.aspx,/collections/igiene-orale-e-del-naso,exact,0.39,src slug and chosen handle are dissimilar
es,/es/3/cuidado-del-cuerpo/pasta-de-dientes-y-cuidado-dental.aspx,/es/3/cuidado-del-cuerpo/higiene-bucodental-y-nasal.aspx,/collections/higiene-bucodental-y-nasal,exact,0.44,src slug and chosen handle are dissimilar
fr,/fr/3/soin-du-corps/dentifrice-et-soins-dentaires.aspx,/fr/3/soin-du-corps/soins-de-la-gorge-du-nez-et-des-dents.aspx,/collections/soins-de-la-gorge-du-nez-et-des-dents,exact,0.33,src slug and chosen handle are dissimilar
en,/en/3/body-care/toothpaste-and-dental-care.aspx,/en/3/body-care/oral-hygiene.aspx,/collections/oral-hygiene,exact,0.26,src slug and chosen handle are dissimilar
nl,/nl/3/gezonde-leefstijl/thee-fiore-doriente-biologisch.aspx,/nl/3/gezonde-leefstijl.aspx,/collections/gezonde-leefstijl,exact,0.21,src slug and chosen handle are dissimilar
en,/en/3/healthy-lifestyle/tea-fiore-doriente-organic.aspx,/en/3/healthy-lifestyle.aspx,/collections/healthy-lifestyle,exact,0.28,src slug and chosen handle are dissimilar
es,/es/3/productos-para-una-vida-sana/t-fiore-doriente.aspx,/es/3/productos-para-una-vida-sana.aspx,/collections/productos-para-una-vida-sana,exact,0.23,src slug and chosen handle are dissimilar
fr,/fr/3/produits-pour-une-vie-saine/th-fiore-doriente.aspx,/fr/3/produits-pour-une-vie-saine.aspx,/collections/produits-pour-une-vie-saine,exact,0.45,src slug and chosen handle are dissimilar
it,/it/3/articoli-per-una-vita-sana/t-fiore-doriente.aspx,/it/3/articoli-per-una-vita-sana.aspx,/collections/articoli-per-una-vita-sana,exact,0.24,src slug and chosen handle are dissimilar
nl,/nl/3/geurproducten/bach-essentile-olin.aspx,/nl/3/geurproducten/alle-etherische-olin.aspx,/collections/alle-etherische-olien,exact,0.45,src slug and chosen handle are dissimilar
nl,/nl/3/lichaamsverzorging/cannacura-hennep-producten.aspx,/nl/3/lichaamsverzorging.aspx,/collections/lichaamsverzorging,exact,0.14,src slug and chosen handle are dissimilar
